iter	Passed	Remaining
0	141	70485
1	143	35844
2	149	24744
3	151	18835
4	155	15440
5	158	13078
6	160	11335
7	163	10031
8	165	9044
9	168	8260
10	170	7600
11	173	7072
12	176	6595
13	177	6169
14	179	5787
15	180	5471
16	182	5186
17	184	4929
18	185	4706
19	186	4487
20	188	4301
21	190	4135
22	195	4046
23	196	3903
24	198	3770
25	200	3648
26	201	3529
27	202	3420
28	204	3318
29	206	3229
30	208	3150
31	209	3061
32	210	2984
33	212	2912
34	214	2844
35	215	2771
36	216	2707
37	217	2645
38	219	2591
39	221	2542
40	222	2493
41	224	2448
42	225	2396
43	227	2352
44	228	2310
45	230	2271
46	231	2233
47	232	2192
48	234	2158
49	236	2126
50	237	2094
51	239	2064
52	241	2036
53	243	2008
54	245	1982
55	246	1957
56	248	1933
57	250	1910
58	252	1888
59	253	1861
60	255	1841
61	257	1820
62	259	1802
63	261	1782
64	263	1763
65	265	1744
66	267	1725
67	269	1709
68	271	1693
69	273	1677
70	274	1660
71	276	1645
72	278	1630
73	280	1614
74	282	1600
75	284	1587
76	286	1574
77	288	1561
78	290	1547
79	292	1534
80	294	1521
81	295	1508
82	297	1496
83	299	1485
84	301	1474
85	303	1463
86	305	1451
87	307	1440
88	309	1430
89	311	1420
90	313	1410
91	316	1402
92	331	1449
93	333	1440
94	335	1429
95	337	1418
96	339	1409
97	341	1398
98	342	1388
99	344	1377
100	346	1367
101	348	1357
102	350	1349
103	352	1340
104	353	1330
105	355	1322
106	357	1312
107	359	1303
108	360	1294
109	362	1285
110	364	1276
111	365	1267
112	367	1258
113	369	1249
114	370	1241
115	372	1233
116	374	1224
117	375	1216
118	377	1208
119	379	1200
120	380	1193
121	382	1185
122	384	1177
123	386	1170
124	387	1162
125	389	1155
126	390	1147
127	392	1140
128	394	1133
129	395	1126
130	397	1119
131	399	1113
132	400	1106
133	402	1100
134	404	1093
135	405	1085
136	407	1079
137	409	1073
138	411	1067
139	413	1062
140	414	1056
141	417	1051
142	418	1045
143	420	1040
144	422	1034
145	424	1029
146	426	1023
